Number of Wells,Number of Connections,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV,tot_co2_gen
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238169165,20116.60408594229,2114.6834081507404
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.77543759064,2032.5503013868617
19.99999998509884,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.775437560605,2032.5503013868617
20.0,1.0000002947550628,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.775420278474,2032.5503316742129
20.0,1.0000002798539016,19.99999998509884,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.775437584372,2032.5503013868617
20.0,1.0000002798539016,20.0,27999.997309458653,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.77543759064,2032.5503013868617
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.77543759064,2032.5503013868617
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0000000149012,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176810327,20157.775437589862,2032.5503013883954
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.289619101681,4767.684978869567,5509.32686434214,6983.559176810327,20157.775437590335,2032.5503013892846
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978884468,5509.32686434214,6983.559176810327,20157.77543759059,2032.550301385746
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.326864357041,6983.559176810327,20157.775437590655,2032.5503013868301
20.0,1.0000002798539016,20.0,27999.997309443752,150,900.0,3167.28961908678,4767.684978869567,5509.32686434214,6983.559176825228,20157.775437590615,2032.5503013869093
19.999999208040055,1.0,19.9999995875173,27999.997309443257,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167280765,2032.5466799384074
19.999999222941216,1.0,19.9999995875173,27999.997309443257,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.77616731079,2032.5466799384074
19.999999208040055,1.0000000149011612,19.9999995875173,27999.997309443257,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.77614996853,2032.5467102257126
19.999999208040055,1.0,19.999999602418463,27999.997309443257,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167286953,2032.5466799384074
19.999999208040055,1.0,19.9999995875173,27999.99730945816,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167280765,2032.5466799384074
19.999999208040055,1.0,19.9999995875173,27999.997309443257,150,900.0003436617858,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167280765,2032.5466799384074
19.999999208040055,1.0,19.9999995875173,27999.997309443257,150,900.000343676687,3167.269091324488,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167279986,2032.5466799399412
19.999999208040055,1.0,19.9999995875173,27999.997309443257,150,900.0003436617858,3167.269091339389,4767.681541138242,5509.3278473904875,6983.557458074473,20157.776167280463,2032.5466799408302
